EIN,Name,DonorAdvisedFundsHeldCnt,DonorAdvisedFundsContriAmt,DonorAdvisedFundsGrantsAmt
66032106,THE COMMUNITY FOUNDATION FOR GREATER NEW HAVEN,316,4154418,3811694
910785826,MUSEUM OF FLIGHT FOUNDATION,,,
741934031,AUSTIN COMMUNITY FOUNDATION INC,486,23555381,16129265
113422729,BROOKLYN COMMUNITY FOUNDATION,64,14533770,3183218
911508191,Alliance for Education,0,0,0
746065414,SAN ANTONIO AREA FOUNDATION,190,26971664,23986862
263212021,CAUSECAST FOUNDATION,16,3374565,2623037
161575921,TOMPKINS CHARITABLE GIFT FUND INC,64,1547724,1199467
426122716,QUAD CITIES COMMUNITY FOUNDATION,462,2617262,3125009
473441083,THE MARSHFIELD AREA COMMUNITY FOUNDATION INC,38,356017,119974
264245043,EDWARD CHARLES FOUNDATION,2,500000,0
264245043,EDWARD CHARLES FOUNDATION,1,2000000,2000000
680354961,SOLANO COMMUNITY FOUNDATION,27,20625,199935
954116679,SOCIAL & ENVIRONMENTAL ENTREPRENEURS,3,100000,2095075
521427774,ASSOCIATED BLACK CHARITIES INC,,,
943373670,GIVE2ASIA,80,3924345,3406506
133810997,INTERNATIONAL SOCIETY OF AESTHETIC PLASTIC SURGERY,1,,
351033735,Boys & Girls Club of Elkhart County Inc,1,0,0
943136771,PHILANTHROPIC VENTURES FOUNDATION,46,6484548,5037029
205502851,COMMUNITY FOUNDATION OF THE KLAMATH BASI,14,127317,35830
570908490,GULF COAST COMMUNITY FOUNDATION INC,19,85974,506489
223106737,ROCHESTER AREA COMMUNITY FOUNDATION DEPOSITORY INC,228,3557817,3233506
237250641,ROCHESTER AREA COMMUNITY FOUNDATION,394,5655729,18906873
411707738,WINONA AREA PUBLIC SCHOOLS FOUNDATION INC,,,
363412544,COMMUNITYGIVING,322,12301119,10183058
561192344,CALDWELL ARTS COUNCIL INC,1,1600,931
582010071,FAYETTEVILLE PUBLIC EDUCATION FOUNDATION INC,,,
562398236,THE 506 FOUNDATION INC,110,57685,37284
521703547,YOUNG VICTORIAN THEATRE COMPANY,4,,
350868181,Taylor University,3,555182,273000
591956886,THE COMMUNITY FOUNDATION OF SARASOTA CO INC,400,19667056,7722704
910570872,TACOMA COMMUNITY HOUSE,1,,
546112680,GREATER LYNCHBURG COMMUNITY FOUNDATION,57,123765,174005
237079002,WINONA STATE UNIVERSITY FOUNDATION,,,
223525184,MONTCLAIR EARLY CHILDHOOD CORP MONTCLAIR COMMUNITY PRE-K,1,21386,7500
61551843,COMMUNITY FOUNDATION OF ORANGE COUNTY INC,42,968863,168441
363978733,THE DUPAGE COMMUNITY FOUNDATION,112,4300592,3731510
650833500,MANATEE COMMUNITY FOUNDATION INC,123,192202,3077351
610445838,BINGHAM CHILD GUIDANCE CLINIC INC,,174612,174612
411817315,ST CROIX VALLEY FOUNDATION,151,1350739,778979
592396243,COMMUNITY FOUNDATION OF COLLIER COUNTY INC,198,12684020,8581362
237079002,WINONA STATE UNIVERSITY FOUNDATION,,,
316038277,HAMILTON COMMUNITY FOUNDATION,93,1018804,1884648
311742955,NORTHERN PIEDMONT COMMUNITY FOUNDATION,40,776833,449225
363258728,Bible League Foundation,0,3674,72179
204654550,EASTERN CAROLINA COMMUNITY FOUNDATION,49,385388,273460
161599356,JEWISH COMMUNITY FOUNDATION OF CENTRAL NEW YORK INC,147,1197934,1066625
340868798,WALSH UNIVERSITY INC,1,0,0
237231048,INTERNATIONAL GAME FISH ASSOCIATION WORLD FISHING CENTER,,,
810519514,BOZEMAN AREA COMMUNITY FOUNDATION,8,140797,133475
232047297,BREAD AND ROSES COMMUNITY FUND,13,133880,10417
860348306,ARIZONA COMMUNITY FOUNDATION,560,36023861,32079621
131624158,THE ROCKEFELLER UNIVERSITY,112,3370758,
256085617,THE ARTS COUNCIL OF ERIE D/B/A ERIE ARTS & CULTURE,,,
530239013,LEAGUE OF WOMEN VOTERS EDUCATION FUND,,,
161467675,FINGER LAKES AREA COMMUNITY ENDOWMENT,,,
943205217,KITSAP COMMUNITY FOUNDATION,148,1011809,836608
931019725,OREGON JEWISH COMMUNITY FOUNDATION,234,5780288,10958920
481215503,GREATER SALINA COMMUNITY FOUNDATION,110,2207827,7149261
391711388,COMMUNITY FOUNDATION OF SOUTHERN WISCONSIN INC,68,2237569,794807
521488711,THE COMMUNITY FOUNDATION OF FREDERICK COUNTY MARYLAND INC,145,1280690,819543
430714167,UNITED WAY OF GREATER ST LOUIS INC,3,10000,1317000
366008100,DAVID C COOK,1,0,43000
271272384,MARINE REACH MINISTRIES CALIFORNIA INC,,,
841128761,MONTROSE COMMUNITY FOUNDATION,6,66676,70949
931332421,QUAD CITIES GOLF CLASSIC CHARITABLE FOUNDATION,2,12928693,12928790
351811149,COMMUNITY FOUNDATION OF BLOOMINGTON AND MONROE COUNTY INC,48,248169,215318
396073041,HARMONY FOUNDATION INTERNATIONAL INC,1,,
841562332,FRIENDS OF PEAK TO PEAK INC,1,1000,0
237290968,COMMUNITY FOUNDATION OF THE OZARKS INC,342,17747632,6268201
820444885,IDACORP EMPLOYEE COMMUNITY SERVICES FUND INC,1,323777,331245
201729243,INDIAN RIVER COMMUNITY FOUNDATION INC,119,14358143,8149794
363354458,WEST RIVER FOUNDATION,1,,500
860098932,UNITED WAY OF TUCSON AND SOUTHERN ARIZONA INC,44,390645,633525
233070457,MONTGOMERY COUNTY FOUNDATION INC,10,11970,40493
356047122,William Taylor Foundation,2,,2000
160868942,JEWISH COMMUNITY FEDERATION OF GREATER ROCHESTER NY INC,89,1503240,3007147
590974739,THE UNIVERSITY OF FLORIDA FOUNDATION INC,1,0,5368
203521388,UNITED WAY OF MARTIN COUNTY FOUNDATION INC,1,401984,534500
952504044,JEWISH COMMUNITY FOUNDATION OF SAN DIEGO,788,120656964,-81398944
541492775,FOUNDATION FOR MANAGEMENT EDUCATION IN CENTRAL AMERICA,41,1587427,1587427
383056434,GRAND TRAVERSE REGIONAL COMMUNITY FOUNDATION,52,1501800,844490
202249722,LOUISIANA BUSINESS INCUBATION ASSOCIATIO,,186549,
200118947,NEW YORK STATE TRIBUTE FOUNDATION INC,,,
586035103,CHI PHI EDUCATIONAL TRUST,98,409909,339373
630842355,Central Alabama Community Fdn Inc,78,5079042,2967704
521273585,GLOBAL IMPACT,4,2887560,2887580
510188377,RACINE COMMUNITY FOUNDATION INC,92,2488148,1713781
261186431,FRIENDS OF UTOKYO INC,1,231927,251727
860926685,TEMPLE CHAI ENDOWMENT FOUNDATION,11,21176,1248
430822397,THE CIVIC COUNCIL OF GREATER KANSAS CITY,1,0,0
810450150,MONTANA COMMUNITY FOUNDATION INC,108,6737304,1782790
510515757,BINGHAM OSBORN & SCARBOROUGH FOUNDATION,43,2018459,2521002
431831635,Covenant Theological Seminary Foundation,2,0,0
382164580,WOMEN'S RESOURCE CENTER GRAND TRAVERSE AREA,1,1000,0
10679337,THE SAN FRANCISCO FOUNDATION,521,114520459,121985332
371397503,MORTON COMMUNITY FOUNDATION,9,496313,59350
382741723,MANISTEE COUNTY COMMUNITY FOUNDATION,18,179200,40633
450273403,University of Mary,,,
311255886,COMMUNITY FOUNDATION OF ELKHART COUNTY INC,120,22416591,15469638
941156528,JEWISH FAMILY AND CHILDREN'S SERVICES,38,1015812,641082
550419865,OHIO VALLEY UNIVERSITY INC,1,,
841208720,CCAI (Chinese Children Adoption International),0,0,0
260008332,THE COMMUNITY FOUNDATION OF THE NORTHERN SHENANDOAH VALLEY,31,287694,79650
311330325,DAYTON FOUNDATION CHARITABLE ACCOUNTS INC,,,
201195592,JEWISH FEDERATION OF NORTHERN NEW JERSEY INC,114,1382789,1139190
237176723,COMMUNITY FOUNDATION OF EAST CENTRAL ILLINOIS,17,164860,155612
946070996,EAST BAY COMMUNITY FOUNDATION,308,104467917,48930221
582008178,The Davidson County Education Foundation Inc,1,0,4000
470813703,NEBRASKA CULTURAL ENDOWMENT,1,,51751
941156533,JEWISH COMMUNITY FEDERATION OF SAN FRANCISCO THE PENINSULA MARIN & SONOMA,893,81948903,61973117
860292099,SAFARI CLUB INTERNATIONAL FOUNDATION,1,50000,0
541900143,UNITED JEWISH COMMUNITY OF THE VIRGINIA PENINSULA ENDOWMENT INC,38,1013092,558357
610444765,JEWISH COMMUNITY OF LOUISVILLE INC,183,110720,160131
460997164,MUSIC HEALTH ALLIANCE INC,2,98835,24117
272463839,LIFEQUEST WORLD FUND INC PEAK TRUST DONOR ADVISED FUND INC,4,76750,0
421364293,WATERLOO COMMUNITY SCHOOLS FOUNDATION,1,5000,1000
340714445,JEWISH FEDERATION OF CLEVELAND,811,69731721,68263675
911720259,NORTHWEST ULTIMATE ASSOCIATION,9,196569,200406
391866090,APPLETON EDUCATION FOUNDATION INC,4,41416,2781
311425735,CAMPUS PARTNERS FOR COMMUNITY URBAN REDEVELOPMENT,,,
541602838,ARLINGTON COMMUNITY FOUNDATION,72,984826,937853
980592591,The Philanthropy Workshop Inc,,,
590624404,GREATER MIAMI JEWISH FEDERATION INC Oksana Cardini CFO,245,32636415,18199580
710992446,KIVA MICROFUNDS,34,1761553,304374
264245043,EDWARD CHARLES FOUNDATION,1,2000000,2000000
866052343,NATIONAL KIDNEY FOUNDATION OF ARIZONA,,,
204215109,EAST SIDE COMMUNITY LEARNING CENTER FOUNDATION,,,
946098382,THE JEWISH COMMUNITY FOUNDATION,610,6271943,6882223
650667299,FLORIDA CHAPTER OF THE INTERNATIONAL SOCIETY OF ARBORICULTURE INC,,,
730773715,CATHOLIC FOUNDATION OF OKLAHOMA INC,6,30000,99323
200192255,RED LODGE AREA COMMUNITY FOUNDATION,4,9400,13540
454678325,BRADLEY IMPACT FUND INC,66,10734234,6241934
341001130,SALEM COMMUNITY FOUNDATION INC,96,243138,392220
134316755,COMMUNITY FOUNDATION FOR NANTUCKET INC,37,1796093,2505787
161565374,SUBURBAN ADULT SERVICES FOUNDATION INC,,,
841592286,TRIPLE BOTTOM LINE FOUNDATION,,,
860897810,CANCER SUPPORT COMMUNITY-ARIZONA,,,
860146520,PLANNED PARENTHOOD ARIZONA INC,1,0,0
680480736,Network for Good,1,487972057,487872170
420761080,UNITED WAY OF MUSCATINE IOWA,1,39928,39928
770555874,KERN COMMUNITY FOUNDATION,59,1110900,867694
480729691,CENTRAL KANSAS FOUNDATION FOR ALCOHOL AND CHEMICAL DEPENDENCY,,,
591148710,FLORIDA UNITED METHODIST FOUNDATION INC,14,81866,49668
210634963,MONMOUTH COUNCIL INC BOY SCOUTS OF AMERICA,11,219306,
943108791,Vision Health International,1,10750,2346
133065542,FRIENDS OF MOSDOT GOOR,59,3765024,3726536
546052427,GEORGE C MARSHALL RESEARCH FOUNDATION,1,,
410858512,TSE INC,2,2000,2325
582277856,KING BAUDOUIN FOUNDATION US INC,47,5818625,4884464
541950727,COMMUNITY FOUNDATION FOR LOUDOUN AND NORTHERN FAUQUIER COUNTIES,18,684919,153350
660550405,RYDER ASSISTED CARE III INC,0,0,0
943039253,SAN FRANCISCO BAY WILDLIFE SOCIETY,0,0,0
430662495,HANNIBAL REGIONAL HEALTHCARE SYSTEM INC,,,
161553194,CENTER FOR INQUIRY DEVELOPMENT FUND,1,,
311072405,OHIO DISTRICT KIWANIS FOUNDATION INC,26,57981,46530
770165029,VENTURA COUNTY COMMUNITY FOUNDATION,130,1726946,2102434
636052990,CIVITAN INTERNATIONAL,2,25000,0
741587488,UNIVERSITY OF TEXAS FOUNDATION INC,3,27973,70465
311147022,MUSKINGUM COUNTY COMMUNITY FOUNDATION,27,234159,36533
351343903,HERITAGE FUND - THE COMMUNITY FOUNDATION OF BARTHOLOMEW COUNTY INC,39,341438,230737
530196644,ALEXANDER GRAHAM BELL ASSOCIATION FOR THE DEAF AND HARD OF HEARING,1,7930,7400
464356787,BOND COUNTY COMMUNITY FOUNDATION,1,0,430269
841530768,TELLURIDE FOUNDATION,16,1113040,
364696076,St Sophias Forgotten Felines,23500,23500,23500
570647976,ROLLING GREEN VILLAGE,13,5912,799
593412016,U S FAMILY FOUNDATION INC,29,1092255,1387173
341837854,NEW BREMEN FOUNDATION INC,31,455819,95758
650455319,CHARLOTTE COMMUNITY FOUNDATION INC,26,189939,67079
952142678,SOCIETY OF PHOTO OPTICAL INSTRUMENTATION ENGINEER,0,0,0
930691238,ASHLAND COMMUNITY HOSPITAL FOUNDATION,1,,102775
436049281,Jewish Community Foundation of Greater Kansas City,431,10872263,12585188
42297514,NEW ENGLAND AQUARIUM CORPORATION,,,
366111168,ORAL AND MAXILLOFACIAL SURGERY FOUNDATION,1,0,0
541647385,COMMUNITY FOUNDATION OF THE CENTRAL BLUE RIDGE,20,541270,357795
300065901,INTERACT FOR CHANGE,3,2196904,553853
431968320,ELM FAMILY FOUNDATION,1,0,5000
470813266,SOUTHERN VALLEY SCHOLARSHIP FOUNDATION INC C/O KIM LUEKING,17,11564,18164
462845781,CONVOY OF HOPE FOUNDATION,11,309819,269461
411408909,ROSEVILLE AREA COMMUNITY FOUNDATION,,,
221948007,SUMMIT AREA PUBLIC FOUNDATION,22,159873,130905
541086794,PAGE ONE OF PAGE COUNTY INC,5,30179,29385
742236918,GREATER EL PASO CHAMBER OF COMMERCE FOUNDATION,1,28355,
726022365,THE COMMUNITY FOUNDATION OF NORTH LOUISIANA,84,5276979,1964678
204715344,Ledwith Lewis Free Clinic,0,0,0
262437362,I-CARE FUND AMERICA INC,1,2280108,1988816
161433024,THE REHABILITATION FOUNDATION INC,,,
841354894,WESTERN COLORADO COMMUNITY FOUNDATION INC,84,1732448,1137187
133550688,STONEWALL COMMUNITY FOUNDATION,33,394446,415436
550545643,UNITED METHODIST FOUNDATION OF WEST VIRGINIA INC,14,50619,124607
550724623,COMMUNITY FOUNDATION OF THE VIRGINIAS INC,,,
311661966,THE COMMUNITY FOUNDATION OF WEST CHESTER/LIBERTY,70,1701715,740161
351844891,COMMUNITY FOUNDATION OF HOWARD COUNTY,47,1195777,344870
276601178,PLAYERS PHILANTHROPY FUND,,,
814910505,SAN DIEGO SENIORS COMMUNITY FOUNDATION,2,50745,3250
591227747,The Jewish Federation of Sarasota-Manatee Inc,16,592242,382221
742648803,AUSTIN PARKS FOUNDATION,62,369368,192224
311480939,CHILLICOTHEROSS COMMUNITY FOUNDATION INC,38,4193954,133001
363359386,HEADWATERS FOUNDATION FOR JUSTICE,14,1106253,1257729
841682682,JEFFERSON COUNTY COMMUNITY FOUNDATION,11,115016,137572
436023126,ST LOUIS COMMUNITY FOUNDATION,49,3124807,2746673
310669700,THE GREATER CINCINNATI FOUNDATION,978,78152303,63171637
237180620,BALTIMORE COMMUNITY FOUNDATION INC,409,23003433,11288415
431758789,ST LOUIS COMMUNITY FOUNDATION INC,363,35094540,70797297
391126207,OZAUKEE COUNTY HISTORICAL SOCIETY INC,5,11321,
582198010,ST JAMES PLACE OF BATON ROUGE FOUNDATION,1,34979,
942427596,THE NATIONAL JUDICIAL COLLEGE,,,
311140087,CLINTON COUNTY FOUNDATION,36,232744,411197
840616785,PUEBLO CITY-COUNTY LIBRARY DISTRICT,1,9100,9000
382877959,GRAND RAPIDS COMMUNITY FOUNDATION,193,8473896,6424612
411647411,MINNESOTA ASSOCIATION OF RESOURCE CONSERVATION & DEVELOPMENT INC,,,
131580907,NATIONAL ASSOCIATION OF THEATRE OWNERS INC,,,
680003212,COMMUNITY FOUNDATION SONOMA COUNTY,178,11067869,8120471
911306592,NORTHWEST ASSOCIATION OF INDEPENDENT SCHOOLS,1,71750,23917
721493023,Community Foundation of Acadiana,390,14777370,9482278
751494062,STEPHEN F AUSTIN STATE UNIVERSITY FOUNDATION INC,28,315067,242307
611175239,PADUCAH INDEPENDENT SCHOOL DISTRICT PUBLIC SCHOOLS FOUNDATION INC,2,126502,82655
680370006,NORTH BAY ASSOCIATION OF REALTORS,1,0,5000
581493949,NATL CHRISTIAN CHARITABLE FDN INC,20498,1303680087,1351641713
161100837,COMMUNITY FOUNDATION OF ELMIRA-CORNING AND THE FINGER LAKES INC,22,414891,158121
351903148,COMMUNITY FOUNDATION OF RANDOLPH COUNTY INC,1,,2206
340943665,STARK COMMUNITY FOUNDATION,218,2840114,4233230
166023261,THE FOUNDATION FOR JEWISH PHILANTHROPIES INC,304,3363321,9750891
201938332,CAMBRIDGE CHARITABLE FOUNDATION,5,48895,41254
421634891,SAN ANGELO DESK INC,,,
830287513,WYOMING COMMUNITY FOUNDATION,84,6207504,3294768
436064111,YOUTHBRIDGE COMMUNITY FOUNDATION,50,16326495,1767584
341281026,WAYNE COUNTY COMMUNITY FOUNDATION,110,7111887,2546130
251813245,CRAWFORD HERITAGE COMMUNITY FOUNDATION,14,2756436,19706
204119317,THE GEORGE W BUSH FOUNDATION,1,1623910,1259200
351836690,WAYNE TOWNSHIP EDUCATION FOUNDATION INC,15,8635,15000
470844886,NEBR UNITED METHODIST FOUNDATION,8,225334,36400
721472591,GODDESSES INC C/O STACI A ROSENBERG,1,15548,14545
202052288,Achievements Unlimited Foundation,1,50,7500
510193549,TEXHOMA CHRISTIAN CARE CENTER INC,0,1000,1000
205205488,SILICON VALLEY COMMUNITY FOUNDATION,1184,2045175863,1842120762
541671883,ARLINGTON FREE CLINIC INC,,,
260792594,SERVIAM GIRLS ACADEMY INC,6,,85545
510232459,THE COMMUNITY FOUNDATION FOR NORTHERN VIRGINIA INC,160,17549509,4117257
161574338,ROME COMMUNITY FOUNDATION,8,46725,179161
426139033,COMMUNITY FDN OF GREATER DES MOINES F/K/A GREATER DES MOINES COMMUNITY FDN,713,29719660,18046564
743054287,MARIETTA COMMUNITY FOUNDATION INC,80,622112,436508
630288846,UNITED WAY OF CENTRAL ALABAMA INC,,,
60646689,THE JEWISH COMMUNITY FOUNDATION INC,6,,
840920862,Rose Community Foundation,112,2964965,9510523
330748536,The Community Foundation,75,6926084,-7788030
911726410,WHATCOM COMMUNITY FOUNDATION,66,2674271,2677502
951866094,SANTA BARBARA FOUNDATION,239,10922204,21168840
943126848,THE ENERGY FOUNDATION,3,1165789,973626
721508036,COMMUNITY FOUNDATION OF SOUTHWEST LOUISIANA,32,1317791,1495146
311450786,DELAWARE COUNTY FOUNDATION,35,795044,426144
550748246,PARKERSBURG AREA COMMUNITY FOUNDATION INC (PREVIOUSLY PACF INC),71,868553,531352
432043188,GREATER ROUND ROCK COMMUNITY FOUNDATION,21,430347,344365
262552404,YHB CHARITABLE ENDOWMENT INC,34,2664906,1551698
161271663,NORTHERN CHAUTAUQUA COMMUNITY FOUNDATION,15,2980,30545
566047886,FOUNDATION FOR THE CAROLINAS,930,233692816,243668971
340714442,YOUNGSTOWN AREA JEWISH FEDERATION,23,96024,229108
200857330,MARYLAND AGRICULTURAL RESOURCE COUNCIL INC,,,
522168471,KERNERSVILLE FOUNDATION INC,11,124729,715850
310537174,Jewish Federation of Cincinnati,139,5893764,9350735
411955885,CATHOLIC COMMUNITY FOUNDATION C/O JEREMY LILLIG,7,2818390,1495074
942686530,HORIZONS FOUNDATION,151,4057977,4066595
462440594,PLEDGELING FOUNDATION,624,7100538,6830611
472812962,GLOBAL CENTER OF GUR INC,23,863090,451500
571011248,FIRST PRESBYTERIAN CHURCH FOUNDATION,4,40734,44500
311760702,LICKING COUNTY FOUNDATION INC,46,444487,1007503
42104351,JEWISH COMMUNITY CENTER OF THE NORTH SHORE INC,8,17266,8820
812375745,IMPACT INVESTING CHARITABLE TRUST,184,642749,2984262
371440662,LEGACY GLOBAL FOUNDATION INC,200,806530,430995
956150680,HISTORY CENTER OF SAN LUIS OBISPO COUNTY,,,
200697012,YAKIMA VALLEY COMMUNITY FOUNDATION,22,905758,1013419
222281783,COMMUNITY FOUNDATION OF NEW JERSEY,605,84690588,46684581
161467675,FINGER LAKES AREA COMMUNITY ENDOWMENT,,,
200192255,RED LODGE AREA COMMUNITY FOUNDATION,4,14394,14685
550668245,TGKVF INC,67,255034,393884
222540853,FOUNDATION FOR DELAWARE COUNTY,6,213740,86176
363659998,NORTH SOUTH FOUNDATION,2,51427,42500
581661700,NORTH CAROLINA COMMUNITY FOUNDATION,356,12557261,7328412
