sponsor,state,value
10391479,AL,15000.0
10391479,CA,148063.0
10391479,CO,280000.0
10391479,CT,65700.0
10391479,DC,267500.0
10391479,FL,469676.0
10391479,IA,5000.0
10391479,IN,49291.0
10391479,MA,770444.0
10391479,ME,23171470.0
10391479,MI,21390.0
10391479,MN,11000.0
10391479,MS,140000.0
10391479,MT,25960.0
10391479,NC,16000.0
10391479,NH,66005.0
10391479,NJ,27500.0
10391479,NY,453685.0
10391479,PA,232594.0
10391479,RI,1777224.0
10391479,TN,9000.0
10391479,UT,10000.0
10391479,VA,336865.0
10391479,VT,145650.0
10391479,WA,28930.0
10430261,ME,135500.0
10564355,CA,10000.0
10564355,DC,21226.0
10564355,IN,7500.0
10564355,MA,337850.0
10564355,MD,10000.0
10564355,ME,20000.0
10564355,NC,34044.0
10564355,NJ,10000.0
10564355,NY,25963.0
10564355,OH,22000.0
10564355,PA,2079826.0
10564355,TN,15000.0
10564355,UT,10000.0
10564355,VA,20000.0
10564355,WV,10000.0